raw_SMILES,reaxys_id,SMILES,cas_number
BrC1=CC=C(C=O)C=C1,507100,O=Cc1ccc(Br)cc1,1122-91-4
NC1=CC=C(Br)C=C1,742031,Nc1ccc(Br)cc1,106-40-1
CC(=O)C1=CC=C(Br)C=C1,386015,CC(=O)c1ccc(Br)cc1,99-90-1
CC1=CC=C(Br)C=C1,1903636,Cc1ccc(Br)cc1,106-38-7
COC1=CC=C(Br)C=C1,1237590,COc1ccc(Br)cc1,104-92-7
BrC1=CC=CC=C1C=O,636132,O=Cc1ccccc1Br,6630-33-7
OC1=CC=C(Br)C=C1,1680024,Oc1ccc(Br)cc1,106-41-2
BrC1=CC(C=O)=CC=C1,1634534,O=Cc1cccc(Br)c1,3132-99-8
BrC1=CC=C(I)C=C1,1904545,Brc1ccc(I)cc1,589-87-7
BrC1=CC=C(C=C1)C#N,2041518,N#Cc1ccc(Br)cc1,623-00-7
BrC1=CC=C(C=C1)N(=O)=O,636964,O=[N+]([O-])c1ccc(Br)cc1,586-78-7
BrC1=CC=CC2=CC=CC=C12,1906414,Brc1cccc2ccccc12,90-11-9
CC1=CC=CC=C1Br,1904176,Cc1ccccc1Br,95-46-5
NC1=CC=CC=C1Br,742062,Nc1ccccc1Br,615-36-1
ClC(=O)C1=CC=C(Br)C=C1,636641,O=C(Cl)c1ccc(Br)cc1,586-75-4
OC1=C(C=O)C=C(Br)C=C1,774710,O=Cc1cc(Br)ccc1O,1761-61-1
NC1=CC(Br)=CC=C1,742028,Nc1cccc(Br)c1,591-19-5
OC(=O)C1=CC=C(Br)C=C1,1906923,O=C(O)c1ccc(Br)cc1,586-76-5
BrCC(=O)C1=CC=C(Br)C=C1,607604,O=C(CBr)c1ccc(Br)cc1,99-73-0
FC1=CC=C(Br)C=C1,774102,Fc1ccc(Br)cc1,460-00-4
COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=CC=C(Br)C=C3F)C2=C1,9161676,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,443913-73-3
ClC1=CC=C(Br)C=C1,1099014,Clc1ccc(Br)cc1,106-39-8
BrC1=CC2=CC=CC=C2C=C1,1858110,Brc1ccc2ccccc2c1,580-13-2
BrCC1=CC=C(Br)C=C1,606498,BrCc1ccc(Br)cc1,589-15-1
FC(F)(F)C1=CC=C(Br)C=C1,2045666,FC(F)(F)c1ccc(Br)cc1,402-43-7
CC1=CC(Br)=CC=C1,1903633,Cc1cccc(Br)c1,591-17-3
OC1=CC=CC=C1Br,1905115,Oc1ccccc1Br,95-56-7
BrC1=CC=C(C=C)C=C1,1634204,C=Cc1ccc(Br)cc1,2039-82-9
